City_ID,City,Country,Max Temp,Current_description,Lat,Lng,Hotel Name
0,Torbay,CA,70.57,broken clouds,47.6666,-52.7314,Gallows Cove
7,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Nikolskoye,RU,67.78,few clouds,59.7035,30.7861,Tourist House - Sablino
13,Yellowknife,CA,72.28,broken clouds,62.456,-114.3525,The Explorer Hotel
16,Hilo,US,80.26,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Edea,CM,78.58,light rain,3.8,10.1333,Micotel Hotel
19,Atuona,PF,77.23,broken clouds,-9.8,-139.0333,Villa Enata
21,Kavieng,PG,81.41,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
25,Naze,JP,76.89,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
29,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Kahului,US,80.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
31,Pangai,TO,77.11,light rain,-19.8,-174.35,Ha'apai Beach Resort
32,Khatanga,RU,72.43,few clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
37,Rikitea,PF,71.98,broken clouds,-23.1203,-134.9692,People ThankYou
39,Aklavik,CA,72.43,scattered clouds,68.2191,-135.0107,Aklavik Inn
41,Port Moresby,PG,74.53,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
47,Manacapuru,BR,79.38,clear sky,-3.2997,-60.6206,Novo Hotel
52,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Meulaboh,ID,76.69,moderate rain,4.1363,96.1285,Kost Pria
55,Jamestown,US,72.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Hualmay,PE,68.86,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
59,Sioux Lookout,CA,71.98,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
60,Kavaratti,IN,82.44,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
62,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
64,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
65,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
67,Kununurra,AU,66.18,few clouds,-15.7667,128.7333,Hotel Kununurra
69,Namibe,AO,66.81,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
76,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
78,Port Keats,AU,73.63,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
79,Bageshwar,IN,71.33,overcast clouds,29.85,79.7667,Danu Janral Store
80,Quatre Cocos,MU,71.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
82,Gallup,US,80.44,clear sky,35.5281,-108.7426,El Capitan Motel
84,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
85,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
86,Holzkirchen,DE,75.99,heavy intensity rain,47.8766,11.7018,Hotel Und Landgasthof Altwirt
89,Ayabe,JP,79.39,scattered clouds,35.3,135.25,R Inn Ayabe
92,Bengkulu,ID,75.42,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
94,Ternate,ID,80.8,few clouds,0.8,127.4,Grand Dafam Bela Ternate
98,North Bend,US,66.16,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
103,Mayumba,GA,72.27,scattered clouds,-3.432,10.6554,LIKWALE LODGE
104,Shingu,JP,78.91,few clouds,33.7333,135.9833,Shingu UI Hotel
107,Butaritari,KI,81.32,moderate rain,3.0707,172.7902,Isles Sunset Lodge
109,Novorossiysk,RU,70.25,clear sky,44.7239,37.7708,Brigantina
110,Vaini,TO,73.56,light rain,-21.2,-175.2,Keleti Beach Resort
115,Atikokan,CA,78.13,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
116,Careiro Da Varzea,BR,79.43,few clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
117,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
119,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
120,Karratha,AU,67.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
123,Lorengau,PG,81.23,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
125,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
128,Kalaleh,IR,76.6,broken clouds,37.3807,55.4916,عطر و ادکلن پارسیس
