City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_description
0,Torbay,CA,47.6666,-52.7314,70.57,60,75,17.27,broken clouds
1,Hami,CN,42.8,93.45,89.62,17,2,32.99,clear sky
2,Russell,US,32.3502,-85.1999,92.48,55,20,3.44,few clouds
3,Armacao De Pera,PT,37.1026,-8.357,89.51,60,0,15.97,clear sky
4,Nelson Bay,AU,-32.7167,152.15,48.69,93,0,4.9,clear sky
5,Otane,NZ,-39.8833,176.6333,44.38,96,7,0.76,clear sky
6,Nanortalik,GL,60.1432,-45.2371,48.45,71,100,11.12,overcast clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,57,11.01,broken clouds
8,Ushuaia,AR,-54.8,-68.3,38.82,87,75,21.85,broken clouds
9,Nikolskoye,RU,59.7035,30.7861,67.78,67,17,5.55,few clouds
10,Cherskiy,RU,68.75,161.3,34.59,76,100,4.61,overcast clouds
11,Clarence Town,AU,-32.5833,151.7833,48.56,58,0,2.59,clear sky
12,Saskylakh,RU,71.9167,114.0833,70.18,50,11,7.23,few clouds
13,Yellowknife,CA,62.456,-114.3525,72.28,64,75,6.91,broken clouds
14,Bethel,US,41.3712,-73.414,83.19,55,75,1.99,broken clouds
15,Tigil,RU,57.8,158.6667,43.02,85,57,7.2,broken clouds
16,Hilo,US,19.7297,-155.09,80.26,86,90,6.91,overcast clouds
17,Edea,CM,3.8,10.1333,78.58,96,48,2.46,light rain
18,Bredasdorp,ZA,-34.5322,20.0403,49.32,93,0,1.14,clear sky
19,Atuona,PF,-9.8,-139.0333,77.23,76,75,19.15,broken clouds
20,Cape Town,ZA,-33.9258,18.4232,58.26,89,0,1.01,clear sky
21,Kavieng,PG,-2.5744,150.7967,81.41,77,27,6.62,scattered clouds
22,Rawson,AR,-43.3002,-65.1023,55.69,38,100,16.89,overcast clouds
23,Hobart,AU,-42.8794,147.3294,54.27,64,51,1.01,broken clouds
24,Qaanaaq,GL,77.484,-69.3632,41.23,92,100,8.59,overcast clouds
25,Naze,JP,28.3667,129.4833,76.89,83,32,4.16,scattered clouds
26,Olafsvik,IS,64.8945,-23.7142,55.85,87,100,6.46,overcast clouds
27,Livingston,GB,55.9029,-3.5226,64.47,79,75,5.75,broken clouds
28,Abalak,RU,58.1286,68.5944,55.96,99,100,6.78,light rain
29,Kapaa,US,22.0752,-159.319,80.92,76,40,3.0,scattered clouds
30,Kahului,US,20.8947,-156.47,80.96,73,20,19.57,few clouds
31,Pangai,TO,-19.8,-174.35,77.11,83,75,11.5,light rain
32,Khatanga,RU,71.9667,102.5,72.43,47,16,9.53,few clouds
33,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.11,17,2,5.95,clear sky
34,Barrow,US,71.2906,-156.7887,51.82,82,90,9.22,mist
35,Khandyga,RU,62.6667,135.6,49.53,65,51,0.76,broken clouds
36,Carnarvon,AU,-24.8667,113.6333,62.67,70,40,19.57,scattered clouds
37,Rikitea,PF,-23.1203,-134.9692,71.98,70,55,5.79,broken clouds
38,Yeppoon,AU,-23.1333,150.7333,60.58,84,0,10.67,clear sky
39,Aklavik,CA,68.2191,-135.0107,72.43,49,40,6.91,scattered clouds
40,Zhigansk,RU,66.7697,123.3711,58.1,46,10,6.78,clear sky
41,Port Moresby,PG,-9.4431,147.1797,74.53,92,100,4.21,overcast clouds
42,Bocas Del Toro,PA,9.3333,-82.25,92.07,71,92,6.73,overcast clouds
43,Narsaq,GL,60.9167,-46.05,64.62,56,100,1.77,light rain
44,Bluff,NZ,-46.6,168.3333,47.8,93,100,8.57,light rain
45,Pangnirtung,CA,66.1451,-65.7125,48.2,93,40,5.75,scattered clouds
46,Port Hardy,CA,50.6996,-127.4199,60.98,88,75,5.75,mist
47,Manacapuru,BR,-3.2997,-60.6206,79.38,40,10,0.89,clear sky
48,Akureyri,IS,65.6835,-18.0878,58.93,51,0,11.5,clear sky
49,Saint George,US,37.1041,-113.5841,90.07,50,1,1.01,clear sky
50,Pleasanton,US,37.6624,-121.8747,90.16,46,1,1.01,clear sky
51,Abu Samrah,SY,35.3029,37.1841,85.17,37,0,9.93,clear sky
52,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,49,15.86,light rain
53,Meulaboh,ID,4.1363,96.1285,76.69,89,100,1.92,moderate rain
54,Tuatapere,NZ,-46.1333,167.6833,47.82,95,100,7.76,overcast clouds
55,Jamestown,US,42.097,-79.2353,72.3,68,75,8.99,broken clouds
56,Chuy,UY,-33.6971,-53.4616,54.09,58,0,5.99,clear sky
57,Manchester,GB,53.4809,-2.2374,60.44,89,90,11.5,overcast clouds
58,Hualmay,PE,-11.0964,-77.6139,68.86,69,28,12.15,scattered clouds
59,Sioux Lookout,CA,50.1001,-91.917,71.98,82,90,3.44,overcast clouds
60,Kavaratti,IN,10.5669,72.642,82.44,78,100,13.82,overcast clouds
61,Tasiilaq,GL,65.6145,-37.6368,55.56,77,19,1.12,few clouds
62,Itoman,JP,26.1247,127.6694,82.42,89,20,6.91,few clouds
63,Hermanus,ZA,-34.4187,19.2345,55.9,88,0,1.77,clear sky
64,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,89,4.61,overcast clouds
65,Salalah,OM,17.0151,54.0924,78.89,89,75,10.36,broken clouds
66,Ostrovnoy,RU,68.0531,39.5131,47.34,84,97,9.66,overcast clouds
67,Kununurra,AU,-15.7667,128.7333,66.18,82,21,0.0,few clouds
68,Umtata,ZA,-31.5889,28.7844,50.56,71,0,2.3,clear sky
69,Namibe,AO,-15.1961,12.1522,66.81,92,48,2.17,scattered clouds
