City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Turkistan,43.0,68.0,89.22,21,0,2.1,KZ,2021-07-23 03:32:23
1,Eyl,7.9803,49.8164,79.61,67,64,27.34,SO,2021-07-23 03:36:03
2,Tasiilaq,65.6145,-37.6368,41.16,97,100,1.07,GL,2021-07-23 03:36:04
3,Talnakh,69.4865,88.3972,55.67,76,100,5.93,RU,2021-07-23 03:36:05
4,Mataura,-46.1927,168.8643,54.48,82,62,2.82,NZ,2021-07-23 03:36:05
5,Dikson,73.5069,80.5464,38.35,96,96,17.4,RU,2021-07-23 03:36:06
6,Evensk,61.95,159.2333,51.82,91,100,4.27,RU,2021-07-23 03:36:07
7,Atuona,-9.8,-139.0333,77.38,75,97,10.89,PF,2021-07-23 03:36:07
8,Vaini,-21.2,-175.2,80.76,78,20,5.75,TO,2021-07-23 03:36:09
9,Kamenka,51.3223,42.7678,64.0,65,0,8.79,RU,2021-07-23 03:36:09
10,Darhan,49.4867,105.9228,77.16,56,84,4.68,MN,2021-07-23 03:36:10
11,Esperance,-33.8667,121.9,60.64,63,70,30.0,AU,2021-07-23 03:36:11
12,Rundu,-17.9333,19.7667,39.79,19,24,6.73,NA,2021-07-23 03:36:11
13,Ola,59.5833,151.2833,54.32,86,100,4.41,RU,2021-07-23 03:36:12
14,Avarua,-21.2078,-159.775,78.85,78,20,10.36,CK,2021-07-23 03:36:13
15,Namatanai,-3.6667,152.4333,83.28,72,18,7.23,PG,2021-07-23 03:36:13
16,Hithadhoo,-0.6,73.0833,81.3,77,100,14.0,MV,2021-07-23 03:33:46
17,Bobrovytsya,50.75,31.3833,61.61,70,0,5.28,UA,2021-07-23 03:36:14
18,Hilo,19.7297,-155.09,74.93,91,90,5.75,US,2021-07-23 03:36:15
19,Rikitea,-23.1203,-134.9692,73.94,73,6,19.62,PF,2021-07-23 03:36:16
20,Smithers,54.7804,-127.1743,62.92,45,40,5.75,CA,2021-07-23 03:36:17
21,Mwinilunga,-11.7358,24.4293,51.4,47,3,5.84,ZM,2021-07-23 03:34:13
22,Bengkulu,-3.8004,102.2655,83.19,65,91,4.45,ID,2021-07-23 03:36:18
23,Lae,-6.7221,146.9847,77.67,83,100,1.07,PG,2021-07-23 03:36:18
24,Ushuaia,-54.8,-68.3,38.86,81,75,9.22,AR,2021-07-23 03:36:19
25,Upernavik,72.7868,-56.1549,40.37,95,100,0.69,GL,2021-07-23 03:36:19
26,Sobolevo,54.4299,31.8996,58.32,72,2,7.63,RU,2021-07-23 03:36:20
27,East London,-33.0153,27.9116,53.29,66,98,20.0,ZA,2021-07-23 03:36:21
28,Bachatskiy,54.2927,86.1285,71.46,67,92,4.16,RU,2021-07-23 03:36:21
29,Carnarvon,-24.8667,113.6333,68.07,64,97,12.66,AU,2021-07-23 03:36:21
30,Waghausel,49.2564,8.5072,61.18,78,0,2.19,DE,2021-07-23 03:36:22
31,Iqaluit,63.7506,-68.5145,51.53,81,90,3.0,CA,2021-07-23 03:36:24
32,Kiruna,67.8557,20.2251,47.32,61,20,10.36,SE,2021-07-23 03:36:25
